,ip4_prefix,ip_address,owner,latitude,longitude
0,1.0.0.0,1.0.0.1,CloudFlare Inc.,9.9570503235,-84.1398010254
1,1.0.0.0,1.0.0.1,CloudFlare Inc.,32.1147003174,34.7821998596
2,1.0.0.0,1.0.0.1,CloudFlare Inc.,40.1473007202,44.3959007263
3,1.0.0.0,1.0.0.1,CloudFlare Inc.,23.5932998657,58.2844009399
4,1.0.0.0,1.0.0.1,CloudFlare Inc.,-33.9648017883,18.6016998291
5,1.0.0.0,1.0.0.1,CloudFlare Inc.,-22.0146007538,166.2129974365
6,1.0.0.0,1.0.0.1,CloudFlare Inc.,37.5583000183,126.791000366
7,1.0.0.0,1.0.0.1,CloudFlare Inc.,25.7931995392,-80.2906036377
8,1.0.0.0,1.0.0.1,CloudFlare Inc.,41.2971000671,2.0784599781
9,1.0.0.0,1.0.0.1,CloudFlare Inc.,44.8819999695,-93.2218017578
10,1.0.0.0,1.0.0.1,CloudFlare Inc.,37.62189865,-97.26820374
11,1.0.0.0,1.0.0.1,CloudFlare Inc.,45.6795005798,-74.0386962891
12,1.0.0.0,1.0.0.1,CloudFlare Inc.,49.0127983093,2.5499999523
13,1.0.0.0,1.0.0.1,CloudFlare Inc.,25.0776996613,121.233001709
14,1.0.0.0,1.0.0.1,CloudFlare Inc.,47.5299987793,-122.3020019531
15,1.0.0.0,1.0.0.1,CloudFlare Inc.,17.2313175201,78.4298553467
16,1.0.0.0,1.0.0.1,CloudFlare Inc.,-26.2425003052,28.1511993408
17,1.0.0.0,1.0.0.1,CloudFlare Inc.,-18.7968997955,47.4788017273
18,1.0.0.0,1.0.0.1,CloudFlare Inc.,19.0886993408,72.8678970337
19,1.0.0.0,1.0.0.1,CloudFlare Inc.,33.94250107,-118.4079971
20,1.0.0.0,1.0.0.1,CloudFlare Inc.,63.9850006104,-22.6056003571
21,1.0.0.0,1.0.0.1,CloudFlare Inc.,53.8824996948,28.0307006836
22,1.0.0.0,1.0.0.1,CloudFlare Inc.,8.4821195602,76.9200973511
23,1.0.0.0,1.0.0.1,CloudFlare Inc.,49.9099998474,-97.2398986816
24,1.0.0.0,1.0.0.1,CloudFlare Inc.,-12.021900177,-77.1143035889
25,1.0.0.0,1.0.0.1,CloudFlare Inc.,-8.8583698273,13.2312002182
26,1.0.0.0,1.0.0.1,CloudFlare Inc.,54.6341018677,25.2858009338
27,1.0.0.0,1.0.0.1,CloudFlare Inc.,50.8658981323,7.1427397728
28,1.0.0.0,1.0.0.1,CloudFlare Inc.,47.4812134,19.1303031
29,1.0.0.0,1.0.0.1,CloudFlare Inc.,-37.0080986023,174.792007446
30,1.0.0.0,1.0.0.1,CloudFlare Inc.,-33.3930015564,-70.7857971191
31,1.0.0.0,1.0.0.1,CloudFlare Inc.,-22.9104995728,-43.1631011963
32,1.0.0.0,1.0.0.1,CloudFlare Inc.,47.8431015015,106.766998291
33,1.0.0.0,1.0.0.1,CloudFlare Inc.,1.3604199886,103.9100036621
34,1.0.0.0,1.0.0.1,CloudFlare Inc.,10.6031169891,-66.9905853271
35,1.0.0.0,1.0.0.1,CloudFlare Inc.,45.445098877,9.2767400742
36,1.0.0.0,1.0.0.1,CloudFlare Inc.,60.193901062,11.100399971
37,1.0.0.0,1.0.0.1,CloudFlare Inc.,-20.4302005768,57.6836013794
38,1.0.0.0,1.0.0.1,CloudFlare Inc.,40.7883987427,-111.9779968262
39,1.0.0.0,1.0.0.1,CloudFlare Inc.,-29.7705993652,31.0583992004
40,1.0.0.0,1.0.0.1,CloudFlare Inc.,21.3187007904,-157.9219970703
41,1.0.0.0,1.0.0.1,CloudFlare Inc.,22.308889,113.914722
42,1.0.0.0,1.0.0.1,CloudFlare Inc.,-2.15741992,-79.8835983276
43,1.0.0.0,1.0.0.1,CloudFlare Inc.,-31.9402999878,115.9670028687
44,1.0.0.0,1.0.0.1,CloudFlare Inc.,33.2625007629,44.2346000671
45,1.0.0.0,1.0.0.1,CloudFlare Inc.,38.2924003601,27.156999588
46,1.0.0.0,1.0.0.1,CloudFlare Inc.,5.937210083,116.0510025024
47,1.0.0.0,1.0.0.1,CloudFlare Inc.,56.7430992126,60.8027000427
48,1.0.0.0,1.0.0.1,CloudFlare Inc.,40.9768981934,28.8145999908
49,1.0.0.0,1.0.0.1,CloudFlare Inc.,-34.9449996948,138.5310058594
50,1.0.0.0,1.0.0.1,CloudFlare Inc.,40.63980103,-73.77890015
51,1.0.0.0,1.0.0.1,CloudFlare Inc.,35.5522994995,139.7799987793
52,1.0.0.0,1.0.0.1,CloudFlare Inc.,-27.4702796,153.023036
53,1.0.0.0,1.0.0.1,CloudFlare Inc.,59.8003005981,30.2625007629
54,1.0.0.0,1.0.0.1,CloudFlare Inc.,-34.5592,-58.4156
55,1.0.0.0,1.0.0.1,CloudFlare Inc.,55.4087982178,37.9062995911
56,1.0.0.0,1.0.0.1,CloudFlare Inc.,-41.3272018433,174.804992676
57,1.0.0.0,1.0.0.1,CloudFlare Inc.,13.9125995636,100.607002258
58,1.0.0.0,1.0.0.1,CloudFlare Inc.,-6.1255698204,106.65599823
59,1.0.0.0,1.0.0.1,CloudFlare Inc.,19.4363002777,-99.0720977783
60,1.0.0.0,1.0.0.1,CloudFlare Inc.,41.7859992981,-87.7524032593
61,1.1.1.0,1.1.1.1,CloudFlare Inc.,9.9570503235,-84.1398010254
62,1.1.1.0,1.1.1.1,CloudFlare Inc.,25.7931995392,-80.2906036377
63,1.1.1.0,1.1.1.1,CloudFlare Inc.,32.1147003174,34.7821998596
64,1.1.1.0,1.1.1.1,CloudFlare Inc.,-33.9648017883,18.6016998291
65,1.1.1.0,1.1.1.1,CloudFlare Inc.,49.0127983093,2.5499999523
66,1.1.1.0,1.1.1.1,CloudFlare Inc.,40.1473007202,44.3959007263
67,1.1.1.0,1.1.1.1,CloudFlare Inc.,-22.0146007538,166.2129974365
68,1.1.1.0,1.1.1.1,CloudFlare Inc.,37.5583000183,126.791000366
69,1.1.1.0,1.1.1.1,CloudFlare Inc.,23.5932998657,58.2844009399
70,1.1.1.0,1.1.1.1,CloudFlare Inc.,44.8819999695,-93.2218017578
71,1.1.1.0,1.1.1.1,CloudFlare Inc.,41.2971000671,2.0784599781
72,1.1.1.0,1.1.1.1,CloudFlare Inc.,33.94250107,-118.4079971
73,1.1.1.0,1.1.1.1,CloudFlare Inc.,-25.4050998688,-49.2319984436
74,1.1.1.0,1.1.1.1,CloudFlare Inc.,45.6795005798,-74.0386962891
75,1.1.1.0,1.1.1.1,CloudFlare Inc.,25.0776996613,121.233001709
76,1.1.1.0,1.1.1.1,CloudFlare Inc.,37.62189865,-97.26820374
77,1.1.1.0,1.1.1.1,CloudFlare Inc.,17.2313175201,78.4298553467
78,1.1.1.0,1.1.1.1,CloudFlare Inc.,-18.7968997955,47.4788017273
79,1.1.1.0,1.1.1.1,CloudFlare Inc.,19.0886993408,72.8678970337
80,1.1.1.0,1.1.1.1,CloudFlare Inc.,53.8824996948,28.0307006836
81,1.1.1.0,1.1.1.1,CloudFlare Inc.,47.8431015015,106.766998291
82,1.1.1.0,1.1.1.1,CloudFlare Inc.,63.9850006104,-22.6056003571
83,1.1.1.0,1.1.1.1,CloudFlare Inc.,8.4821195602,76.9200973511
84,1.1.1.0,1.1.1.1,CloudFlare Inc.,49.9099998474,-97.2398986816
85,1.1.1.0,1.1.1.1,CloudFlare Inc.,-26.2425003052,28.1511993408
86,1.1.1.0,1.1.1.1,CloudFlare Inc.,-8.8583698273,13.2312002182
87,1.1.1.0,1.1.1.1,CloudFlare Inc.,50.8658981323,7.1427397728
88,1.1.1.0,1.1.1.1,CloudFlare Inc.,-12.021900177,-77.1143035889
89,1.1.1.0,1.1.1.1,CloudFlare Inc.,-37.0080986023,174.792007446
